workout_type,distance,time,calories,total_steps,avg_speed,avg_cadence,max_cadence,avg_heart_rate,max_heart_rate,min_heart_rate,vo2_max(%),aerobic(%),anaerobic(%),intensive(%),light(%),calories_per_minute,calories_classes,heart_level,id
8,2.35,103,296,4550.0,16.0,31.66,171.91,100.5,105.0,96,13,26,7,17,27,2.8737864077669903,2,1,1081
4,1.58,77,132,4081.1191335740073,20.69,164.88,270.79,133.0,177.0,89,11,45,15,9,2,1.7142857142857142,1,2,1082
6,9.1,116,21,4081.1191335740073,8.5,87.83,341.91,143.0,175.0,111,6,20,15,41,60,0.1810344827586207,1,2,1083
1,3.37,113,545,4081.1191335740073,15.72,64.18,161.0,112.0,122.0,102,33,28,2,24,48,4.823008849557522,2,2,1084
3,7.49,47,531,4081.1191335740073,10.83,22.19,320.97,134.0,166.0,102,7,0,5,44,59,11.297872340425531,2,2,1085
7,8.39,109,531,2790.0,28.15,31.2,204.72,147.5,188.0,107,29,0,80,26,17,4.871559633027523,2,2,1086
1,4.5,88,496,4081.1191335740073,35.51,109.75,294.35,107.5,122.0,93,20,28,2,50,83,5.636363636363637,2,1,1087
3,8.47,46,264,4081.1191335740073,38.18,22.99,89.14,132.5,166.0,99,20,0,5,50,99,5.739130434782608,1,2,1088
8,3.44,104,372,4550.0,19.37,141.53,67.82,105.0,105.0,105,41,26,7,11,65,3.576923076923077,2,1,1089
0,3.63,40,282,3444.0,8.96,93.5,319.57,97.5,92.0,103,43,40,10,54,85,7.05,1,1,1090
10,7.77,59,458,1785.0,12.21,167.4,56.8,88.0,85.0,91,13,22,0,40,62,7.762711864406779,2,1,1091
7,8.79,66,531,2790.0,9.21,24.65,295.77,148.5,188.0,109,4,0,80,51,97,8.045454545454545,2,2,1092
3,2.27,35,298,4081.1191335740073,8.82,16.1,276.41,127.5,166.0,89,7,0,5,47,9,8.514285714285714,2,2,1093
2,7.34,84,244,4081.1191335740073,6.2,72.62,296.85,95.0,90.0,100,21,32,0,12,41,2.9047619047619047,1,1,1094
0,8.89,75,32,3444.0,17.28,176.6,194.65,87.5,92.0,83,32,40,10,39,22,0.4266666666666667,1,1,1095
2,3.22,70,175,4081.1191335740073,23.78,66.56,320.9,97.5,90.0,105,14,32,0,9,54,2.5,1,1,1096
5,7.82,20,412,6209.0,33.27,32.18,116.15,150.0,190.0,110,5,0,71,18,59,20.6,2,2,1097
7,5.29,59,182,2790.0,29.18,85.0,240.84,144.5,188.0,101,11,0,80,6,15,3.0847457627118646,1,2,1098
9,1.64,22,221,5028.0,13.39,149.23,226.76,109.0,124.0,94,6,50,0,13,40,10.045454545454545,1,1,1099
4,2.97,87,224,4081.1191335740073,23.27,171.73,126.99,133.0,177.0,89,35,45,15,61,67,2.574712643678161,1,2,1100
1,2.52,63,314,4081.1191335740073,30.98,80.14,315.9,116.5,122.0,111,45,28,2,44,99,4.984126984126984,2,2,1101
3,8.56,53,260,4081.1191335740073,23.32,52.69,67.26,133.0,166.0,100,14,0,5,42,46,4.90566037735849,1,2,1102
3,7.67,96,250,4081.1191335740073,35.75,47.9,139.11,130.5,166.0,95,19,0,5,27,10,2.6041666666666665,1,2,1103
7,2.16,110,532,2790.0,2.97,10.45,286.1,135.0,188.0,82,5,0,80,33,95,4.836363636363636,2,2,1104
9,8.6,53,451,5028.0,25.66,137.69,339.65,114.0,124.0,104,1,50,0,60,57,8.50943396226415,2,2,1105
10,5.28,42,236,1785.0,2.26,101.93,186.25,84.5,85.0,84,12,22,0,55,13,5.619047619047619,1,1,1106
0,5.6,56,512,3444.0,28.66,63.22,213.29,101.5,92.0,111,40,40,10,29,17,9.142857142857142,2,1,1107
9,3.41,66,220,5028.0,23.68,163.15,79.39,113.0,124.0,102,19,50,0,60,99,3.3333333333333335,1,2,1108
7,4.22,84,161,2790.0,17.93,135.6,150.18,148.0,188.0,108,10,0,80,38,43,1.9166666666666667,1,2,1109
6,9.8,115,373,4081.1191335740073,31.74,14.42,144.87,134.5,175.0,94,42,20,15,29,49,3.243478260869565,2,2,1110
0,8.61,49,451,3444.0,2.7,156.86,119.87,91.0,92.0,90,39,40,10,57,72,9.204081632653061,2,1,1111
8,9.6,106,178,4550.0,31.99,147.28,102.77,103.0,105.0,101,39,26,7,13,38,1.679245283018868,1,1,1112
8,3.96,103,314,4550.0,6.49,88.18,191.55,106.5,105.0,108,40,26,7,13,68,3.0485436893203883,2,1,1113
7,2.43,25,286,2790.0,31.61,111.41,267.53,138.5,188.0,89,3,0,80,62,25,11.44,1,2,1114
8,8.84,95,197,4550.0,29.7,184.74,270.83,97.0,105.0,89,4,26,7,48,26,2.0736842105263156,1,1,1115
0,7.11,83,213,3444.0,5.82,35.9,87.73,89.0,92.0,86,25,40,10,67,2,2.566265060240964,1,1,1116
4,3.17,61,91,4081.1191335740073,32.34,159.71,162.57,131.5,177.0,86,40,45,15,27,50,1.4918032786885247,1,2,1117
2,7.72,52,307,4081.1191335740073,8.68,20.93,307.21,99.5,90.0,109,42,32,0,19,98,5.903846153846154,2,1,1118
7,6.74,86,253,2790.0,21.92,195.18,233.83,148.0,188.0,108,31,0,80,42,57,2.941860465116279,1,2,1119
3,8.61,44,545,4081.1191335740073,25.48,146.14,161.21,134.0,166.0,102,31,0,5,19,22,12.386363636363637,2,2,1120
0,7.24,78,480,3444.0,1.5,144.26,220.77,98.5,92.0,105,29,40,10,46,59,6.153846153846154,2,1,1121
6,6.38,96,37,4081.1191335740073,16.79,52.57,303.36,141.0,175.0,107,6,20,15,12,35,0.3854166666666667,1,2,1122
5,5.22,34,451,6209.0,38.58,166.57,140.65,141.5,190.0,93,42,0,71,27,76,13.264705882352942,2,2,1123
9,2.1,120,432,5028.0,37.94,97.82,136.8,115.5,124.0,107,36,50,0,14,87,3.6,2,2,1124
3,8.67,62,27,4081.1191335740073,25.4,70.89,61.64,136.5,166.0,107,19,0,5,43,13,0.43548387096774194,1,2,1125
4,7.87,90,254,4081.1191335740073,15.68,96.83,241.65,142.5,177.0,108,16,45,15,8,94,2.8222222222222224,1,2,1126
10,5.51,115,500,1785.0,22.37,126.74,115.45,89.5,85.0,94,5,22,0,13,10,4.3478260869565215,2,1,1127
1,4.19,103,362,4081.1191335740073,28.93,175.64,249.67,111.0,122.0,100,40,28,2,66,31,3.5145631067961167,2,2,1128
8,3.27,37,519,4550.0,20.88,68.45,268.54,101.0,105.0,97,30,26,7,64,62,14.027027027027026,2,1,1129
0,5.15,49,462,3444.0,7.3,147.68,241.68,88.0,92.0,84,41,40,10,66,71,9.428571428571429,2,1,1130
1,6.41,63,269,4081.1191335740073,2.18,143.88,177.64,114.5,122.0,107,16,28,2,62,68,4.26984126984127,1,2,1131
6,6.27,52,333,4081.1191335740073,33.45,68.67,145.7,128.5,175.0,82,21,20,15,26,82,6.403846153846154,2,2,1132
9,5.84,62,165,5028.0,24.96,94.44,190.91,102.5,124.0,81,3,50,0,45,26,2.661290322580645,1,1,1133
5,4.14,72,96,6209.0,9.47,128.39,94.37,143.0,190.0,96,32,0,71,11,57,1.3333333333333333,1,2,1134
6,1.19,76,116,4081.1191335740073,19.5,66.0,172.81,139.0,175.0,103,9,20,15,55,86,1.5263157894736843,1,2,1135
6,1.57,27,527,4081.1191335740073,1.83,171.26,262.36,141.0,175.0,107,41,20,15,33,67,19.51851851851852,2,2,1136
9,1.5,85,266,5028.0,17.45,38.68,321.83,116.0,124.0,108,21,50,0,29,54,3.1294117647058823,1,2,1137
2,5.56,56,57,4081.1191335740073,11.2,142.11,276.27,89.5,90.0,89,40,32,0,53,19,1.0178571428571428,1,1,1138
6,2.1,38,145,4081.1191335740073,5.21,151.85,73.86,132.5,175.0,90,14,20,15,58,22,3.8157894736842106,1,2,1139
0,2.39,35,484,3444.0,14.7,78.53,224.31,89.0,92.0,86,2,40,10,31,61,13.82857142857143,2,1,1140
10,9.8,79,75,1785.0,18.61,81.83,117.84,97.0,85.0,109,16,22,0,16,89,0.9493670886075949,1,1,1141
1,1.96,79,82,4081.1191335740073,33.79,135.8,275.47,114.5,122.0,107,37,28,2,32,30,1.0379746835443038,1,2,1142
4,3.33,118,414,4081.1191335740073,14.83,183.15,272.56,139.0,177.0,101,38,45,15,13,45,3.5084745762711864,2,2,1143
3,3.54,30,168,4081.1191335740073,2.24,113.25,269.49,123.5,166.0,81,38,0,5,37,40,5.6,1,2,1144
9,9.34,33,550,5028.0,26.51,80.62,202.71,102.5,124.0,81,33,50,0,27,73,16.666666666666668,2,1,1145
10,1.85,118,196,1785.0,32.16,35.32,244.19,84.5,85.0,84,9,22,0,24,20,1.6610169491525424,1,1,1146
0,2.42,37,344,3444.0,26.96,18.29,88.85,86.5,92.0,81,32,40,10,63,53,9.297297297297296,2,1,1147
3,3.78,64,340,4081.1191335740073,1.16,76.66,227.75,128.0,166.0,90,41,0,5,26,79,5.3125,2,2,1148
10,7.82,36,224,1785.0,35.37,56.7,257.13,97.0,85.0,109,10,22,0,22,90,6.222222222222222,1,1,1149
5,8.49,83,112,6209.0,5.7,161.91,297.66,150.0,190.0,110,42,0,71,10,53,1.3493975903614457,1,2,1150
5,1.4,71,458,6209.0,16.22,178.43,73.14,148.0,190.0,106,27,0,71,60,57,6.450704225352113,2,2,1151
6,9.15,91,387,4081.1191335740073,29.47,175.92,181.5,140.0,175.0,105,32,20,15,32,36,4.252747252747253,2,2,1152
4,6.85,34,223,4081.1191335740073,27.41,77.97,83.11,144.0,177.0,111,9,45,15,14,12,6.5588235294117645,1,2,1153
6,3.98,102,110,4081.1191335740073,5.25,55.76,311.25,140.5,175.0,106,5,20,15,21,91,1.0784313725490196,1,2,1154
9,9.66,66,262,5028.0,9.74,121.91,183.5,105.5,124.0,87,8,50,0,61,8,3.9696969696969697,1,1,1155
9,5.44,55,550,5028.0,6.69,181.53,222.52,111.0,124.0,98,28,50,0,54,88,10.0,2,2,1156
6,3.65,57,311,4081.1191335740073,13.33,84.17,183.1,130.0,175.0,85,34,20,15,19,69,5.456140350877193,2,2,1157
1,4.39,65,498,4081.1191335740073,17.62,198.5,120.47,111.5,122.0,101,13,28,2,58,46,7.661538461538462,2,2,1158
10,5.4,45,517,1785.0,12.49,122.37,330.81,98.0,85.0,111,1,22,0,46,61,11.488888888888889,2,1,1159
0,9.3,35,245,3444.0,38.39,187.67,184.4,86.5,92.0,81,8,40,10,41,66,7.0,1,1,1160
3,2.67,36,529,4081.1191335740073,23.68,89.3,316.61,123.0,166.0,80,37,0,5,15,53,14.694444444444445,2,2,1161
7,1.69,47,102,2790.0,30.51,52.45,217.53,137.0,188.0,86,22,0,80,5,10,2.1702127659574466,1,2,1162
9,2.29,83,469,5028.0,7.12,141.48,323.25,113.0,124.0,102,2,50,0,45,11,5.650602409638554,2,2,1163
8,4.15,111,486,4550.0,27.55,10.36,292.68,103.0,105.0,101,1,26,7,32,74,4.378378378378378,2,1,1164
8,5.91,102,291,4550.0,33.98,50.96,77.35,102.5,105.0,100,34,26,7,5,82,2.8529411764705883,2,1,1165
1,1.39,113,142,4081.1191335740073,34.9,10.15,205.7,102.0,122.0,82,15,28,2,28,22,1.2566371681415929,1,1,1166
4,8.71,97,362,4081.1191335740073,28.57,19.18,232.31,132.0,177.0,87,10,45,15,8,77,3.731958762886598,2,2,1167
3,7.5,105,340,4081.1191335740073,3.56,58.16,275.99,130.5,166.0,95,39,0,5,15,23,3.238095238095238,2,2,1168
5,2.9,83,436,6209.0,34.33,79.27,163.45,145.0,190.0,100,27,0,71,50,38,5.253012048192771,2,2,1169
0,9.87,62,365,3444.0,37.88,115.19,221.39,86.5,92.0,81,6,40,10,8,68,5.887096774193548,2,1,1170
3,5.26,76,208,4081.1191335740073,21.22,188.19,233.6,131.5,166.0,97,35,0,5,53,28,2.736842105263158,1,2,1171
1,2.86,42,256,4081.1191335740073,24.89,151.32,175.33,116.5,122.0,111,22,28,2,44,8,6.095238095238095,1,2,1172
8,6.62,38,51,4550.0,15.34,20.1,111.94,99.5,105.0,94,25,26,7,21,82,1.3421052631578947,1,1,1173
8,2.66,30,436,4550.0,12.23,190.7,174.33,100.0,105.0,95,1,26,7,63,72,14.533333333333333,2,1,1174
4,7.3,108,358,4081.1191335740073,26.28,195.79,299.47,130.5,177.0,84,27,45,15,11,59,3.314814814814815,2,2,1175
8,7.35,95,182,4550.0,37.84,15.68,313.97,95.5,105.0,86,0,26,7,67,68,1.9157894736842105,1,1,1176
10,8.59,24,366,1785.0,33.44,175.1,298.26,87.5,85.0,90,33,22,0,51,45,15.25,2,1,1177
0,1.97,112,500,3444.0,29.1,54.39,320.53,93.5,92.0,95,30,40,10,46,92,4.464285714285714,2,1,1178
6,5.41,75,273,4081.1191335740073,4.63,168.79,113.48,135.0,175.0,95,4,20,15,37,29,3.64,1,2,1179
3,9.7,24,55,4081.1191335740073,28.5,125.99,197.9,135.0,166.0,104,25,0,5,38,52,2.2916666666666665,1,2,1180
4,9.77,24,228,4081.1191335740073,36.76,113.82,202.6,143.0,177.0,109,45,45,15,16,65,9.5,1,2,1181
0,2.2,69,399,3444.0,14.6,186.67,136.3,96.5,92.0,101,8,40,10,57,91,5.782608695652174,2,1,1182
3,1.5,118,508,4081.1191335740073,8.11,12.57,159.32,134.0,166.0,102,0,0,5,27,3,4.305084745762712,2,2,1183
1,9.47,49,234,4081.1191335740073,23.5,14.82,69.58,114.0,122.0,106,13,28,2,40,29,4.775510204081633,1,2,1184
10,8.33,60,113,1785.0,37.37,138.41,58.47,82.5,85.0,80,43,22,0,52,34,1.8833333333333333,1,1,1185
4,6.74,103,185,4081.1191335740073,3.18,36.58,165.99,143.0,177.0,109,31,45,15,48,2,1.796116504854369,1,2,1186
0,1.43,25,348,3444.0,2.2,127.65,207.4,99.0,92.0,106,43,40,10,25,49,13.92,2,1,1187
2,3.22,39,528,4081.1191335740073,22.69,108.46,318.33,90.0,90.0,90,6,32,0,38,92,13.538461538461538,2,1,1188
4,2.81,92,395,4081.1191335740073,19.26,102.58,151.5,139.5,177.0,102,38,45,15,28,20,4.293478260869565,2,2,1189
5,6.32,63,475,6209.0,13.56,94.31,134.84,140.0,190.0,90,44,0,71,29,94,7.5396825396825395,2,2,1190
0,7.91,94,529,3444.0,4.67,10.35,275.24,95.0,92.0,98,28,40,10,55,88,5.627659574468085,2,1,1191
8,4.88,67,117,4550.0,33.68,188.61,142.97,101.0,105.0,97,26,26,7,42,50,1.7462686567164178,1,1,1192
1,4.92,82,271,4081.1191335740073,18.67,190.16,115.33,113.5,122.0,105,36,28,2,33,50,3.3048780487804876,1,2,1193
3,2.86,120,541,4081.1191335740073,2.61,100.28,222.68,123.5,166.0,81,30,0,5,20,31,4.508333333333334,2,2,1194
2,2.47,90,502,4081.1191335740073,21.35,179.46,312.81,91.5,90.0,93,32,32,0,53,29,5.5777777777777775,2,1,1195
6,5.92,89,319,4081.1191335740073,4.3,178.34,106.57,137.5,175.0,100,14,20,15,49,86,3.5842696629213484,2,2,1196
5,8.99,106,210,6209.0,11.64,182.93,276.69,143.5,190.0,97,40,0,71,28,39,1.9811320754716981,1,2,1197
4,7.15,112,445,4081.1191335740073,19.68,123.78,253.36,130.5,177.0,84,36,45,15,11,91,3.9732142857142856,2,2,1198
9,3.63,38,267,5028.0,18.86,69.4,98.1,106.0,124.0,88,4,50,0,57,60,7.026315789473684,1,1,1199
1,1.49,44,94,4081.1191335740073,28.73,112.23,200.44,111.5,122.0,101,14,28,2,44,4,2.1363636363636362,1,2,1200
1,5.77,22,99,4081.1191335740073,5.88,106.97,94.3,106.0,122.0,90,19,28,2,40,72,4.5,1,1,1201
6,3.43,83,415,4081.1191335740073,4.48,109.25,196.63,131.5,175.0,88,27,20,15,50,41,5.0,2,2,1202
0,1.65,106,361,3444.0,3.14,146.81,205.46,91.5,92.0,91,20,40,10,58,50,3.4056603773584904,2,1,1203
9,7.15,82,388,5028.0,20.49,93.0,294.92,115.0,124.0,106,23,50,0,52,29,4.7317073170731705,2,2,1204
0,3.11,24,239,3444.0,9.19,82.76,292.23,89.5,92.0,87,9,40,10,38,44,9.958333333333334,1,1,1205
5,5.99,20,384,6209.0,7.21,92.43,340.88,143.5,190.0,97,21,0,71,32,58,19.2,2,2,1206
3,5.33,53,195,4081.1191335740073,33.36,162.52,51.4,137.0,166.0,108,24,0,5,23,57,3.6792452830188678,1,2,1207
4,9.1,51,540,4081.1191335740073,11.9,151.3,317.94,132.0,177.0,87,45,45,15,65,57,10.588235294117647,2,2,1208
7,3.12,39,367,2790.0,21.39,87.2,101.0,137.5,188.0,87,13,0,80,64,94,9.41025641025641,2,2,1209
8,1.2,66,398,4550.0,13.88,54.1,138.71,92.5,105.0,80,29,26,7,23,86,6.03030303030303,2,1,1210
5,2.9,54,491,6209.0,38.3,184.41,220.23,146.0,190.0,102,33,0,71,15,35,9.092592592592593,2,2,1211
5,4.5,98,350,6209.0,32.83,183.71,274.57,143.0,190.0,96,1,0,71,14,92,3.5714285714285716,2,2,1212
9,2.98,38,404,5028.0,21.1,115.5,269.35,105.5,124.0,87,31,50,0,66,21,10.631578947368421,2,1,1213
7,7.63,59,87,2790.0,10.76,87.75,244.89,139.5,188.0,91,19,0,80,17,42,1.4745762711864407,1,2,1214
